,xG_per90,xAG_per90,SCA_per90,PrgP_per90,PrgR_per90,PrgC_per90,Press%,Tkl+Int_per90,Cmp%_Med,G+A_per90,Age,Min,league_encoded,position_encoded,squad_rank
0,-0.06576112,0.017091658,0.050729696,-0.30728212,-0.07643383,-0.29496795,0.049672782,0.008385734,-0.019701727,-0.17919432,-0.05830274,0.0035934993,0.008492525,0.00051564374,0.046379115
1,0.79275775,0.026209366,-0.061598975,0.39838952,0.3298353,0.48999858,0.1440855,-0.05737025,0.07098467,0.118906856,0.041018933,-0.019331712,-0.034595225,0.0035370474,-0.3361157
2,-0.003731474,0.08717428,0.027915016,-0.41602477,-0.43609795,-0.114154704,-0.14598115,-0.098382294,0.11880154,-0.10185393,-0.025630038,0.0024825553,0.010045494,-0.001452138,0.12037561
3,0.38877076,0.042617362,-0.19260235,-0.03379966,-0.15690914,-0.059178185,-0.077016026,0.07964011,0.0565515,0.44340518,-0.17884205,0.006389153,0.013607907,0.0019626063,0.2098469
4,-0.39029002,0.1667116,0.20097612,-0.07050953,0.2840713,-0.12626661,-0.08655478,-0.2105702,0.04561742,-0.082625106,-0.14230819,-0.0025441863,0.022781497,0.0030891977,-0.10969358
5,0.51635706,0.15464655,-0.098840155,0.5255969,0.23830712,0.17295408,0.09636292,-0.08469042,0.031094095,0.3556702,-0.40310794,-0.0027386798,0.0026377884,0.0013779716,0.4128979
6,-0.11201634,-0.17278561,-0.06840686,-0.018903088,0.22820781,-0.01869106,0.04820922,-0.17976284,-0.090486094,-0.014843103,-0.051883444,-6.885975e-05,0.025054123,0.0030858638,-0.09438195
7,-0.22827591,0.17633991,-0.15598415,-0.025373533,-0.041720238,0.07560481,-0.122959346,0.05611609,0.0110599175,0.05072824,-0.059887953,-0.0044167344,0.007343348,0.0025293028,-0.13256954
8,0.38625467,-0.012657445,0.018121546,-0.070610374,0.041017585,-0.12606567,-0.030458653,0.01294766,0.047965672,0.08306028,-0.099198714,0.00048163655,-0.056402385,-0.00028023892,-0.508002
9,-0.2005718,-0.07913515,-0.28829885,0.451895,-0.13211729,0.5709184,-0.10139341,-0.07545124,0.04378392,0.23775485,0.025337135,0.0042313635,0.0046313424,-0.0002494162,0.1676366
10,-0.27684274,-0.19212882,-0.009660725,-0.38528222,-0.005485081,-0.35761836,-0.13532148,-0.07755508,-0.036459588,-0.27830935,-0.026561113,0.0040102676,-0.07976227,0.0014824684,-0.054582883
11,-0.34018567,-0.03272831,0.22618009,-0.054414533,0.105527036,0.2034822,-0.026314044,-0.0012419812,-0.023169989,0.18125631,-0.08202363,0.0022570153,0.0049582506,0.0013132899,-0.30104816
12,-0.30053174,-0.20818706,0.08368596,0.18977654,-0.09489422,0.3149517,-0.1682617,-0.13818927,-0.0286572,0.12058903,-0.14050886,-0.0049513807,0.021582527,0.0017697475,-0.17880979
